path	sentence
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/437.wav	paryeŋodah arădh nyabi ǣw yaŋgoda.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1635.wav	Ti laanakoni pirda. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1388.wav	"Mănʹ ănmi anā anih nyudyercʹ anada maqniwq măncyaw yada ăyadmh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1312.wav	Maqniwh:
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/509.wav	"pulita yolcʹmăna maqniwq yah ŋilh lumbădanh sǣywi,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/928.wav	"nyudyaawmh nyǎqămsadăwā, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/445.wav	Wadyetin?
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1681.wav	" A Warңǣ, warңǣ? "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/121.wav	Tika(ko)cyai ŋănih măntǣyq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1675.wav	Ti. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/823.wav	"Tiki, tiki ŋăcyekǣr maqniwq mi,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1222.wav	"syoǒnda mǣira anih ŋulih onyedaănda, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1143.wav	yolʹcyey mǣyraqnidawq.  
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1158.wav	"«Mǣmi tyedah mǣqyaq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/836.wav	Ti orkih piruwna anyena ŋăcyekǣŋǣ ǣya.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1596.wav	"Luciq, luciq anh siңǣy tyetǣy oramdaңǣy Salyeyakoyaqyeyңǣy ңilanda pyawidowңǣy taңi sǣlanaңǣy nyarmye lucidaңǣy lucandow anh siq. "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/736.wav	Tikimh nămdăăwa siqiw ăbir nyoh simh pida ǣqnidaqamh. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/637.wav	Maqniwh: «Syanh tărcyadmh nidmh ŋǣŋguh».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/150.wav	"ti tʃtob tanyana pon' mǣŋguwa"" koralʹ mǣcʹ tara""."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/139.wav	"Lucid yada to""."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/193.wav	Tikaad ti ŋani ŋob' tim' oni'  
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/660.wav	"Ti laănakor,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/778.wav	Numh ŋǣryoyma. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/408.wav	Nyonda si ŋanih tăqăyalʹnyah ŋǣwi. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/196.wav	owǣmi'.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1167.wav	"Taslaăya ŋobhyootah,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/996.wav	Săbye ponh ninih yadh maqniwq syudbyako mandyabǣ(manyabǣ).
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1753.wav	 Ңumb-ya. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/560.wav	«Wadid pirdoh?»  
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1679.wav	 Ңaa? 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1280.wav	"maqniwq ŋămgǣ mutraăna adā săwă ŋǣdăki,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1643.wav	 Lǣqmoqrakow piyakor ta! 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1493.wav	"nyawaq ŋanih tyuku, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1353.wav	"Tow asăwada mannaqmaq ŋobh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1230.wav	"Măkodah siina tikăăna ŋǣda tiki yesya wădamh tyaănyaŋi piya yarăkoh mǣnh tyebdyeda, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/194.wav	ŋani' taryem'. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1573.wav	" yesʹ ңuq mi yesʹ ңǣsoңotoh syerq ңud sandawa latar ңǣdaki nyaңǣdya myaq ңǣwi aniq, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/28.wav	Piliq ponh oyh nih măncăralqnyowamh.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/826.wav	portyew tyuku mǣmdih. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/365.wav	 sǣytadmh»
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/757.wav	«Muŋgoqnaq ŋanih labtǣydoh tinyoq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/535.wav	"maqniwq piliq puda maqniwq taykuy myadmh ōdamcʹ,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/632.wav	"nyudămda oyā anih maqniwq  tăryemh ŋămyǎmda nyoya syayq maqniwq nyukcyamda săwămbowna wadāmda maqniwq,  "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/940.wav	siqiw abărtyeqǣ tyaănyah tănqtănaq ti miŋaq tikawna.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/53.wav	Ŋuli' yadyembi.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/705.wav	"Yesya yarakomda ŋodʹh nyudya ăbir nyaqămă̌ŋgudasyā anih,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/49.wav	oyh niymh yadri syurtyeqnisăwawh.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/998.wav	"yada,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/864.wav	Ŋaat ti.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/839.wav	"ănya pida ŋǣ""niwh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1504.wav	narǣyq nimqŋaq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1232.wav	Syudbya wǣsăko tyormh nyadqmyacʹ nidawh nǣkălh.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/210.wav	"tad ŋaniabida sirŋǣ tabcor""ni""im'."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/292.wav	alʹmyerq?
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/667.wav	Siqiw ăbir usuwǣy yalyah anyesyatiq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1188.wav	"tiki muŋgar tikăana ŋǣqniwq yesyaăna urawiwa,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/737.wav	"Pudăna ǣwǣmdoh ni wirkaădtāq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1010.wav	"siqiw ăbărtaqyamh maqniwq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1582.wav	 Malda. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1141.wav	tăryemgawh ŋămgǣ sit mǣmbăŋgudmh». 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1019.wav	tyuku ŋamci săppa mǣtaqyami tiqyaqaw».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1093.wav	Muŋgoh pyay ăbi tăryemh sirŋa yesya salh ǣwana ŋulih yalăndoh almyerq liq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/306.wav	"Ŋodʹbyatoh tyuku tid taryemh aq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1570.wav	"anda nyana aya aniq, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1622.wav	Wǣy Lǣqmoqrakor inomdaңow maqniwq: 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/556.wav	"Ti tărcya ni taraq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/588.wav	"Ti, ti wǣwa ti»."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/388.wav	Tiki myath myath tyu.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/464.wav	"Maqniwq mi,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/136.wav	Tănyad ŋǣdalyorka taydoh. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1609.wav	abiiyur yalyah anye nacyatiih. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/845.wav	"orkita yes-ye mănǣqmăncʹ anda, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1122.wav	«Mănʹ păŋgălmǣmi sit manoŋgadmh».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/711.wav	«Tyukǒowar ŋămgǣ?
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1580.wav	Tyedah tǣri tyuku taryemh yeryemonda syerq syan laanakokocyaqyamh …
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/149.wav	"""Tyeda' săwa myestadamd pyul-ina, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/656.wav	Ti.» 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1604.wav	 Sawaqyaqңǣy.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/345.wav	"Tǣwqmaădani ănyan tǣwraq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1477.wav	"tikiyumh yaa ŋǣŋgō tănya ŋădʹbăta,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/597.wav	«Tărcyah tănyaŋgobh mambqnanda piliq ponh tărcyawaq ŋǣŋguwaq» 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/349.wav	Tǣwiq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/214.wav	Tikaad ŋob' tarcya 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/728.wav	"yalǣmdh păkal-yaqmaq tikimh pǣrăcʹ,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1172.wav	"«Tiki syudbyaqyami abtawh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/732.wav	"«Yebcotakon, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1449.wav	"nikanda ărmh soda,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1403.wav	iriini maqnidamh: 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/496.wav	pidoh tabyedawidoh. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/958.wav	"Syudbya wǣsako toqniwq mimh mǣmda yadăbciyeqŋaq, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/546.wav	tărcya nye tad nyernyah yaŋgobta tara maqniwq yah obah ninya.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/447.wav	 maqniwq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1321.wav	syenyǎna ărta nisyǎnda ŋin ŋǣqniwq [nyeracbortʃiwo].
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1664.wav	 A potom ǣto pro alyeya.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/725.wav	yabtkoyenh nyenǣy ŋulih». 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/98.wav	"Tiq ŋǣyaq, mimandoh syerh "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1117.wav	Tiki syudbyar nyaarq sawna ibq păŋgălnidawh abǣyq ŋumqyaq tikiq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1640.wav	 Lǣqmoqrakow ңǣwakar taq! 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/791.wav	myadmh syurtye ăyā anih myakna so. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1231.wav	măncabtaybtyeda. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/299.wav	"nyerdyenya tiki liq anyana ŋǣsaq, tiki nyaarq alʹmyer, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1012.wav	" syudbya yedănda tyeruwna tudodoh yaŋgaq, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1149.wav	"ŋilǣda tăsiy sǣryercăwǣyq măncadăŋga,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/375.wav	«Tiki padăr ŋămgǣr?»
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/41.wav	"Siqiw yuq măt"" po ŋǣwi ŋǣbtă."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1583.wav	 Ilyeqmya  waalq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/611.wav	"usuwǣy nyamda poyomdambăda maqniwq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1401.wav	Irini myadh nyana anaw. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/387.wav	nyonda nyayunda nǣbyowi.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1046.wav	 pida ŋilănada nyenǣy ŋămcaq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1078.wav	"«adabh tyenyewănăkǣdmh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1654.wav	 Pro alyeya i pro woronu u myenya bilo. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1653.wav	 Malda. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1659.wav	 Aa.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/71.wav	raciyasawǣyq myaknih solamih.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1226.wav	Muŋgoh pyay ăbi muncih tăryemh incyelyewa.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1740.wav	 Manʹ obcow maqniwq myattyuwandan ңǣbat ңobh myattyuq pinh ǣwandan ңǣbat ңobh pinh anʹq salikami yesʹmya. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1615.wav	Sidya abiiyud tad manǣqңadih yewǣynih syancyoko ibya ңam-yada? 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1194.wav	«Ŋobh nyenǣcʹh myattyu». 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/225.wav	tay'
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1601.wav	 [nyeracbortʃiwo]
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/376.wav	"«Ŋa,  padmi, maqniwq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/947.wav	"Ŋopoy mungănh mǣyda,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1305.wav	ti ŋămcidoh ŋarkăkoqyaq  tyenyewaŋgudaq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/56.wav	"tʃtob taki raciyasawǣy nyenǣcyaŋgq mancʹ ǣsyǎtiwa,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1156.wav	"siqiw yalyah myaknanda oni,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/809.wav	"Sălʹnyanda myuh pǣbtănakǣda ancyerlih pǣbtănakǣdā anih,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1402.wav	"Irini myadh nyana anaw,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/327.wav	"Tyuku,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/80.wav	ti pyelyeytada ăbtada ŋănih awi.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/569.wav	nye tunh» 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/212.wav	"ŋawradna"" wyertolyotana tǣri tad""la"", "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/796.wav	pinh anda myakna so.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1700.wav	 Putkoni niyey ibyandowh putkow? 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/31.wav	ti Muŋguyăna syan ti po mǣnakǣwaq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1341.wav	"nyenyaŋgq ŋǣdakiq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/935.wav	"tarsih maqniwq mayanyoh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1462.wav	"Ti tărcyamh anā, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1016.wav	ancyerrih pinaya.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/289.wav	] Tyuku tiq alʹmyerq anyana ŋa? 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1460.wav	"tănyǎ tyaăkuy tyuku miq ŋarq noyq labăsq mǣŋǣ mǣtaq ŋamdyorŋǣ yathmǣtaq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1045.wav	"Syudbyanda ŋilh yalăndoh tudo pǣrŋa,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/232.wav	"mi arwa""ni""im', "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/442.wav	Pidăr syerl niŋaq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/176.wav	"Yesli tyempyeraturada yaŋgoda, tikar ti mi wuni ŋa"". "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1023.wav	pidăr widărăbqnand yoŋgămd săpăŋguw». 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/191.wav	"tikaad taryem' siwaana sabka niw' tara,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1301.wav	"tidǣh malăna  yaah nyayuh lǣbta tikaăna syudbyako mi ŋamdi,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/951.wav	maănda nyād syudbyako pisʹh niwh ŋădarh. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1711.wav	Pida poyorcʹ aya aniq ǣwanyawa aniq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1290.wav	"mǣ yaah nyah lǣbtăŋgo, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/390.wav	"Ŋobh nye aniq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/373.wav	Maqniwq:
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/966.wav	"«Măncyaw adami tănya anih,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1138.wav	"«Pirar ŋǣsa,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/967.wav	adămi ni mancyetuh taki mi paryeŋodah yawna syudbya maqniw nyar ăbărtaaqnaq ŋǣdali».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1071.wav	nyenǣcyah ŋămcaaw yath ŋăwăr wuniŋaq».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1211.wav	"Ŋămgǣh piruwna ŋǣbqnanda ŋodh wǣsăkoqyaq săwuma,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1750.wav	 Tiiyuda nyuuda tikad mi. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/718.wav	tăsina salăba ŋămgǣdiki yayolh tănyawăki».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1595.wav	" Ti, syanmboy wadakoda tiki syomh mǣqmih. "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1109.wav	Tikămda osʹ niwh yaqamh.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/77.wav	"Mănʹ sămlyaŋg timh mǣqŋaqdamcʹ, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1322.wav	"Ti myakanda aya anih tădawa,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1136.wav	syudbyako yesya salanh tyebwanda syerh yesyamh pyata tibkah tucyeyq wirkădaq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/806.wav	Tad tănyah tiki syudbyako lăbtǣymh tad nǣwăda yaananda ŋăyebǣy ŋacyeki tikăana lyasi.  
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/695.wav	"Puucya sǣwda ǣwnyah mǣyda,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/733.wav	"siqiw abi, "
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1443.wav	"wǣnq ŋǣdakiq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/601.wav	maqniwq.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1314.wav	Ti maqniwq: 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1135.wav	"ăcyah syurămba nyambor ŋămgǣq taykuh miŋgăda ŋuwocyaiq ŋămgǣda tănya,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1170.wav	Myakănda ŋanih ăya.
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1695.wav	ңariq todoowq myeryeqңayoow! 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1077.wav	andanăwa myat tyenyewawăwa».
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1629.wav	“ancyerq siqmi watorpin maqniwq.q
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1293.wav	"Ti lukq ŋamdyodāq aniq mǣ̄ nyānd sirtaq maqniwq mi mi ti orkiq totryewh tiki nyānd tǣri sirtaqmaq,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1537.wav	"Punaaw syaqniqrinda unananda ŋǣbqnanda ŋodh,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/768.wav	maqniwq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1709.wav	Tadaw nyaanda maqniwq tiki mi:
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/474.wav	"Maqniwq mi,"
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/112.wav	tʃtobi myuyda mănǣqmăncʹ. Tikanda utʃyerq (ăncyerq) ayoda?» 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1063.wav	ŋăwǣd pǣrcyatin ilyewand yambănh?» 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1206.wav	Pyelyeynyana maqniwq ŋopoy asăwa nyuda piya yarakoqyaq. 
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/38.wav	"Tăd tikaăd tayna, tyuku taqălʹnyana măncăradmh, tă inkih nyakuna mǣwacʹ."
/home/jbottenb/repositories/nlp_research/dli_del_dev001/data/wav_split_gold/1610.wav	Ңawi syaqniq ңǣbta ңodh Lǣqmoqrakor abiiyuta myath aya
