,Unnamed: 0,index,start,end,transcription,source,lang,full_path_infile,full_path_outfile,log_file_name,recognized
10,10,10,114.497,117.695,ʃunraaŋodyapir.,es100708_MatjPelaNEN.WAV,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/es100708_MatjPelaNEN.WAV,/Volumes/Boston/Scratch/dli_del/wav_split_gold/10.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/10.log,ʃoːndrʌxʌŋɡoːziŋkaɪpʌ
11,11,11,0.2339999999999999,5.186,"AmănyaqnyerdyenyānataynaŋilnyanatiMuŋguyhnyanailyewacʹ,kolocŋǣnyu""",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/11.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/11.log,abanɲerinarətanməlnantsəukuːnanəiːaokɔlhosəninuː
12,12,12,5.803999999999999,7.15,Tănyananyaărqŋǣsisʹ.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/12.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/12.log,aɲamadaaːdənɪsɪ
13,13,13,9.089,11.005,Itănyanatioyhninyasoyadmh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/13.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/13.log,itananjxuːniːnθjn
14,14,14,11.005,13.402,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/14.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/14.log,-
15,15,15,13.402,15.229,Tădtikādtikioyhninyasoyaqmaădăni,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/15.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/15.log,tʃkaskahlɲnsoimaeniː
16,16,16,15.694,16.783,"padnăwamitǣwi""",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/16.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/16.log,aznauːtiuːt
17,17,17,16.916,17.766,Muŋguyăna,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/17.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/17.log,mkujon
18,18,18,18.12,20.073,natʃalʹniyklass'yolʹcyandhpadnadmh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/18.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/18.log,natʃalnikoasotʃatana
19,19,19,20.073,26.779,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/19.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/19.log,-
20,20,20,26.779,28.269,Tădtikaădnatʃalʹniyklass'pud,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/20.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/20.log,atʃkmatʃanikolasuː
21,21,21,28.269,28.624,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/21.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/21.log,-
22,22,22,28.624,30.773000000000003,Karaulănhpyeryeʃyolpyatiyklassănh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/22.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/22.log,karuːaɾisjojatekɔzən
23,23,23,30.773000000000003,31.174,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/23.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/23.log,-
24,24,24,31.174,33.866,TitikimǣǣnataminniKaraulănayolʹcyeyawh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/24.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/24.log,iːttumantamikaruːaniuːtsi
25,25,25,33.866,39.866,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/25.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/25.log,-
26,26,26,39.866,40.286,Tăka?],TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/26.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/26.log,-
27,27,27,40.661,45.133,"Tădtăkadtityedahtikimǣnyuq,yolʹcyeqmaădani,yetyaoyhnihmăncăralluwh",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/27.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/27.log,notopatsitiamkiumaalusimazaɲiiteuxoːɲimasaronuː
28,28,28,46.423,48.603,Piliqponhoyhnihmăncăralqnyowamh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/28.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/28.log,eːkonomat
29,29,29,50.107,52.684,Nisyaniwǣsakohŋǣsiittikaădmănʹmăncăralluwh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/29.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/29.log,θluːθkusθtmamasr
30,30,30,54.0,55.706,"Tiŋămgǣhpirathmăncarawaqtănyana,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/30.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/30.log,iːaŋhørθmaθaraːuːtaɲan
31,31,31,55.706,57.892,tiMuŋguyănasyantipomǣnakǣwaq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/31.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/31.log,bkuːjanaθaːziːpuːmndəkəuː
32,32,32,57.892,59.185,,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/32.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/32.log,-
33,33,33,59.185,62.56800000000001,TădtikaădtaqălʹnyayusidnaqUstʹPortănhsidnaqtǣwraq,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/33.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/33.log,atfaltarinaliusamnasfurtəmsamastaːla
34,34,34,64.672,66.531,"SowocOktyabrʹskiyŋǣǣqnyu""",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/34.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/34.log,abxosaxtaːporskiːmaiː
35,35,35,70.62899999999998,72.46,Aga.Tăka?],TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/35.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/35.log,ika
36,36,36,72.788,75.985,"Ŋǣya,Oktyabrʹskiysowocănatyukoonamăncăradmh.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/36.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/36.log,nuːmaːakaːposkiːsaxsanɪtkoːnomantsaraː
37,37,37,75.985,77.59100000000002,Nyerdyepǣdariqnyanamăncăradmh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/37.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/37.log,adiezidinadamoseɾa
38,38,38,78.446,82.31200000000003,"Tădtikaădtayna,tyukutaqălʹnyanamăncăradmh,tăinkihnyakunamǣwacʹ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/38.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/38.log,tadʒataːtquːtaːnmaθnaːtaxknaːkunmaaː
39,39,39,89.49,91.977,"Ta,tităryemhmăncăraqmaădănaqsyanawpoǣnyaki",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/39.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/39.log,natsitroasromansanhpɔidiki
40,40,40,92.698,95.684,"Ti,siqiwyuqŋămgǣǣwpoona,yekar"".",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/40.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/40.log,desiːujuːunkakovnesiikaɾ
41,41,41,96.349,97.847,"Siqiwyuqmăt""poŋǣwiŋǣbtă",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/41.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/41.log,ʃiːjmatkjuːa
42,42,42,98.208,99.395,Tamălyaŋgănanyerdyenyaŋăcyeki,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/42.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/42.log,amnɲeːdnmaske
43,43,43,99.654,101.195,nyeŋăcyekǣminyaărpoypodasʹ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/43.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/43.log,naskemeɲaːrboza
44,44,44,101.989,104.005,Titinaqwǣwakoabcyaŋgănaaq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/44.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/44.log,etuːnəkuːhatsakanaha
45,45,45,104.878,107.401,Lucahwadawnamancʹsibirskiyyacwaănaaq,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/45.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/45.log,uːsoːvadanomatsiːsiːbɪskejasbənaha
46,46,46,109.013,109.269,Ti,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/46.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/46.log,-
47,47,47,110.253,113.464,"Timălyaŋgi,tamălyaŋgǣǣdmăncărawi,măncaratyedahtiŋudiniŋǣyaq,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/47.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/47.log,imaɲetaːblitamsritmasratsjatsmudininajo
48,48,48,114.026,116.111,ŋǣniŋodʹbyatohwǣwaqŋǣqnimh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/48.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/48.log,mmabtuːi
49,49,49,116.393,118.063,oyhniymhyadrisyurtyeqnisăwawh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/49.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/49.log,ɔlniːnjaːdədiːsuːtiː
50,50,50,120.532,123.564,"Titamălyaŋgănatyeda'tităryemhŋǣqnyuh,nyerdyenyayanhŋǣsuqniwamh,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/50.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/50.log,iːtablkənsiːtiːtəɪtnɪneːrəndiːasiːdoːan
51,51,51,124.071,125.007,titiqawahmălyaŋgăna.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/51.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/51.log,ti5mx
52,52,52,126.224,127.994,Tikimǣǣnaŋănihraciyawaqyaŋgu,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/52.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/52.log,naːratj
53,53,53,129.279,130.14700000000002,Ŋuli'yadyembi,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/53.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/53.log,ljazip
54,54,54,131.797,133.482,"Tibrigadirwaq,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/54.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/54.log,ikulitatalw
55,55,55,133.81799999999998,135.69,"tahŋănihtakinyenǣcyamhŋǣdătambapyasyǎti,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/55.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/55.log,daantaiːantsabatbɔtves
56,56,56,135.69,137.74,tʃtobtakiraciyasawǣynyenǣcyaŋgqmancʹǣsyǎtiwa,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/56.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/56.log,ʃtotakaratsetoentsakomandis
57,57,57,137.74,138.832,tinaqtăryemhăyaq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/57.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/57.log,kintarma
58,58,58,139.622,141.105,Tikiqŋuliqlǣkdaq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/58.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/58.log,tabuniblakda
59,59,59,141.959,143.654,"Maqnyu"":""Tărcyayadyembădăăna",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/59.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/59.log,maːniːtatziazibadame
60,60,60,144.195,145.15200000000004,"ibyaānda?""",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/60.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/60.log,ibiːxantaː
61,61,61,146.622,148.315,"Tădtikaădtibrigadirmimaqnyu"":",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/61.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/61.log,ʃkatsikulitkadʒerumaɲuː
62,62,62,148.322,149.83,"""Mănihsitnyahǣǣnih",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/62.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/62.log,mmunsetaːheː
63,63,63,150.589,152.459,"titakidalʹniyarkaŋǣsinh,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/63.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/63.log,ataktanitoamisi
64,64,64,152.787,154.105,"tănyanaraciyadohtanyawa""",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/64.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/64.log,araːtta
65,65,65,155.0,156.785,"Mǣtitănya'ăyanih,ŋuliqyadyembi",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/65.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/65.log,atʃtanhnjaːd
66,66,66,158.665,160.766,"Ŋobhpyaaya,tănyahtǣwinihtikikakrac",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/66.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/66.log,ateɲabuːnitʃtikara
67,67,67,161.257,163.19299999999996,pǣwsyumnyaŋiraciyahlaănawamhtǣwamih,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/67.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/67.log,esidanadratsiananteoiː
68,68,68,164.391,165.725,Tiraciyaănamaq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/68.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/68.log,ɹaːtmaː
